,Hunk_Type,Size
227,Fixed_Hunk,7
228,Buggy_Hunk,7
229,Fixed_Hunk,7
230,Buggy_Hunk,11
231,Fixed_Hunk,13
232,Buggy_Hunk,7
233,Fixed_Hunk,7
234,Buggy_Hunk,38
235,Fixed_Hunk,35
236,Buggy_Hunk,7
237,Fixed_Hunk,7
238,Buggy_Hunk,11
239,Fixed_Hunk,11
240,Buggy_Hunk,10
241,Fixed_Hunk,10
242,Buggy_Hunk,7
243,Fixed_Hunk,7
244,Buggy_Hunk,7
245,Fixed_Hunk,8
246,Buggy_Hunk,7
247,Fixed_Hunk,7
248,Buggy_Hunk,7
249,Fixed_Hunk,9
250,Buggy_Hunk,37
251,Fixed_Hunk,37
252,Buggy_Hunk,8
253,Fixed_Hunk,8
254,Buggy_Hunk,6
255,Fixed_Hunk,7
256,Buggy_Hunk,6
257,Fixed_Hunk,35
258,Buggy_Hunk,7
259,Fixed_Hunk,7
260,Buggy_Hunk,7
261,Fixed_Hunk,7
262,Buggy_Hunk,7
263,Fixed_Hunk,7
264,Buggy_Hunk,7
265,Fixed_Hunk,7
266,Buggy_Hunk,8
267,Fixed_Hunk,8
268,Buggy_Hunk,7
269,Fixed_Hunk,7
270,Buggy_Hunk,10
271,Fixed_Hunk,10
272,Buggy_Hunk,7
273,Fixed_Hunk,7
274,Buggy_Hunk,11
275,Fixed_Hunk,11
276,Buggy_Hunk,6
277,Fixed_Hunk,6
278,Buggy_Hunk,28
279,Fixed_Hunk,28
280,Buggy_Hunk,32
281,Fixed_Hunk,32
282,Buggy_Hunk,31
283,Fixed_Hunk,31
284,Buggy_Hunk,19
285,Fixed_Hunk,19
286,Buggy_Hunk,15
287,Fixed_Hunk,12
288,Buggy_Hunk,50
289,Fixed_Hunk,50
290,Buggy_Hunk,7
291,Fixed_Hunk,8
292,Buggy_Hunk,7
293,Fixed_Hunk,8
294,Buggy_Hunk,7
295,Fixed_Hunk,7
296,Buggy_Hunk,6
297,Fixed_Hunk,6
298,Buggy_Hunk,27
299,Fixed_Hunk,27
300,Buggy_Hunk,33
301,Fixed_Hunk,33
302,Buggy_Hunk,19
303,Fixed_Hunk,19
304,Buggy_Hunk,11
305,Fixed_Hunk,11
306,Buggy_Hunk,7
307,Fixed_Hunk,7
308,Buggy_Hunk,14
309,Fixed_Hunk,14
310,Buggy_Hunk,14
311,Fixed_Hunk,14
312,Buggy_Hunk,65
313,Fixed_Hunk,83
314,Buggy_Hunk,6
315,Fixed_Hunk,6
316,Buggy_Hunk,32
317,Fixed_Hunk,32
318,Buggy_Hunk,33
319,Fixed_Hunk,33
320,Buggy_Hunk,17
321,Fixed_Hunk,17
322,Buggy_Hunk,7
323,Fixed_Hunk,7
324,Buggy_Hunk,19
325,Fixed_Hunk,10
326,Buggy_Hunk,82
327,Fixed_Hunk,100
328,Buggy_Hunk,7
329,Fixed_Hunk,7
330,Buggy_Hunk,7
331,Fixed_Hunk,7
332,Buggy_Hunk,7
333,Fixed_Hunk,7
334,Buggy_Hunk,7
335,Fixed_Hunk,7
336,Buggy_Hunk,7
337,Fixed_Hunk,7
338,Buggy_Hunk,7
339,Fixed_Hunk,7
340,Buggy_Hunk,7
341,Fixed_Hunk,7
342,Buggy_Hunk,8
343,Fixed_Hunk,10
344,Buggy_Hunk,6
345,Fixed_Hunk,8
346,Buggy_Hunk,6
347,Fixed_Hunk,6
348,Buggy_Hunk,43
349,Fixed_Hunk,43
350,Buggy_Hunk,7
351,Fixed_Hunk,7
352,Buggy_Hunk,15
353,Fixed_Hunk,15
354,Buggy_Hunk,9
355,Fixed_Hunk,9
356,Buggy_Hunk,40
357,Fixed_Hunk,40
358,Buggy_Hunk,10
359,Fixed_Hunk,10
360,Buggy_Hunk,7
361,Fixed_Hunk,7
362,Buggy_Hunk,9
363,Fixed_Hunk,9
364,Buggy_Hunk,8
365,Fixed_Hunk,8
366,Buggy_Hunk,20
367,Fixed_Hunk,20
368,Buggy_Hunk,31
369,Fixed_Hunk,31
370,Buggy_Hunk,11
371,Fixed_Hunk,11
372,Buggy_Hunk,10
373,Fixed_Hunk,10
374,Buggy_Hunk,28
375,Fixed_Hunk,14
376,Buggy_Hunk,57
377,Fixed_Hunk,59
378,Buggy_Hunk,53
379,Fixed_Hunk,66
380,Buggy_Hunk,6
381,Fixed_Hunk,6
382,Buggy_Hunk,24
383,Fixed_Hunk,24
384,Buggy_Hunk,6
385,Fixed_Hunk,12
386,Buggy_Hunk,6
387,Fixed_Hunk,13
388,Buggy_Hunk,8
389,Fixed_Hunk,8
390,Buggy_Hunk,15
391,Fixed_Hunk,15
392,Buggy_Hunk,16
393,Fixed_Hunk,13
394,Buggy_Hunk,72
395,Fixed_Hunk,91
396,Buggy_Hunk,7
397,Fixed_Hunk,7
