,insert,update,move,delete
HdlOp-InfixExpression-HdlStmAssign,1.0,3.0,3.0,
HdlOp-MemberAccessing-HdlOp-InfixExpression,4.0,3.0,1.0,1.0
HdlOp-InfixExpression-HdlStmIf,7.0,6.0,3.0,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,2.0,5.0,2.0,1.0
HdlOp-MemberAccessing-HdlStmAssign,2.0,2.0,,
HdlOp-MemberAccessing-HdlIdDef,2.0,5.0,,
HdlDirection-HdlIdDef,2.0,,,
HdlOp-InfixExpression-HdlOp-MemberAccessing,1.0,3.0,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,,5.0,,
