,Hunk_Type,Size
227,Fixed_Hunk,7
228,Buggy_Hunk,7
229,Fixed_Hunk,7
230,Buggy_Hunk,7
231,Fixed_Hunk,7
232,Buggy_Hunk,7
233,Fixed_Hunk,7
234,Buggy_Hunk,7
235,Fixed_Hunk,7
236,Buggy_Hunk,7
237,Fixed_Hunk,7
238,Buggy_Hunk,7
239,Fixed_Hunk,7
240,Buggy_Hunk,7
241,Fixed_Hunk,7
242,Buggy_Hunk,7
243,Fixed_Hunk,7
244,Buggy_Hunk,7
245,Fixed_Hunk,7
246,Buggy_Hunk,7
247,Fixed_Hunk,7
248,Buggy_Hunk,7
249,Fixed_Hunk,7
250,Buggy_Hunk,7
251,Fixed_Hunk,7
252,Buggy_Hunk,7
253,Fixed_Hunk,7
254,Buggy_Hunk,7
255,Fixed_Hunk,7
256,Buggy_Hunk,7
257,Fixed_Hunk,7
258,Buggy_Hunk,7
259,Fixed_Hunk,7
260,Buggy_Hunk,7
261,Fixed_Hunk,7
262,Buggy_Hunk,7
263,Fixed_Hunk,7
264,Buggy_Hunk,7
265,Fixed_Hunk,7
266,Buggy_Hunk,7
267,Fixed_Hunk,7
268,Buggy_Hunk,7
269,Fixed_Hunk,7
270,Buggy_Hunk,7
271,Fixed_Hunk,7
272,Buggy_Hunk,7
273,Fixed_Hunk,7
274,Buggy_Hunk,7
275,Fixed_Hunk,7
276,Buggy_Hunk,7
277,Fixed_Hunk,7
278,Buggy_Hunk,7
279,Fixed_Hunk,7
280,Buggy_Hunk,7
281,Fixed_Hunk,7
282,Buggy_Hunk,7
283,Fixed_Hunk,7
284,Buggy_Hunk,7
285,Fixed_Hunk,7
286,Buggy_Hunk,7
287,Fixed_Hunk,7
288,Buggy_Hunk,7
289,Fixed_Hunk,7
290,Buggy_Hunk,7
291,Fixed_Hunk,7
292,Buggy_Hunk,7
293,Fixed_Hunk,7
294,Buggy_Hunk,7
295,Fixed_Hunk,7
296,Buggy_Hunk,7
297,Fixed_Hunk,7
298,Buggy_Hunk,7
299,Fixed_Hunk,7
300,Buggy_Hunk,7
301,Fixed_Hunk,7
302,Buggy_Hunk,7
303,Fixed_Hunk,7
304,Buggy_Hunk,7
305,Fixed_Hunk,7
306,Buggy_Hunk,7
307,Fixed_Hunk,7
308,Buggy_Hunk,7
309,Fixed_Hunk,7
310,Buggy_Hunk,7
311,Fixed_Hunk,7
312,Buggy_Hunk,7
313,Fixed_Hunk,7
314,Buggy_Hunk,7
315,Fixed_Hunk,7
316,Buggy_Hunk,7
317,Fixed_Hunk,7
318,Buggy_Hunk,7
319,Fixed_Hunk,7
320,Buggy_Hunk,7
321,Fixed_Hunk,7
322,Buggy_Hunk,7
323,Fixed_Hunk,7
324,Buggy_Hunk,7
325,Fixed_Hunk,7
326,Buggy_Hunk,7
327,Fixed_Hunk,7
328,Buggy_Hunk,7
329,Fixed_Hunk,7
330,Buggy_Hunk,7
331,Fixed_Hunk,7
332,Buggy_Hunk,7
333,Fixed_Hunk,7
334,Buggy_Hunk,7
335,Fixed_Hunk,7
336,Buggy_Hunk,7
337,Fixed_Hunk,7
338,Buggy_Hunk,7
339,Fixed_Hunk,7
340,Buggy_Hunk,7
341,Fixed_Hunk,7
342,Buggy_Hunk,7
343,Fixed_Hunk,7
344,Buggy_Hunk,7
345,Fixed_Hunk,7
346,Buggy_Hunk,7
347,Fixed_Hunk,7
348,Buggy_Hunk,7
349,Fixed_Hunk,7
350,Buggy_Hunk,7
351,Fixed_Hunk,7
352,Buggy_Hunk,7
353,Fixed_Hunk,7
354,Buggy_Hunk,7
355,Fixed_Hunk,7
356,Buggy_Hunk,7
357,Fixed_Hunk,7
358,Buggy_Hunk,7
359,Fixed_Hunk,7
360,Buggy_Hunk,7
361,Fixed_Hunk,7
362,Buggy_Hunk,7
363,Fixed_Hunk,7
364,Buggy_Hunk,7
365,Fixed_Hunk,7
366,Buggy_Hunk,7
367,Fixed_Hunk,7
368,Buggy_Hunk,7
369,Fixed_Hunk,7
370,Buggy_Hunk,7
371,Fixed_Hunk,7
372,Buggy_Hunk,7
373,Fixed_Hunk,7
374,Buggy_Hunk,7
375,Fixed_Hunk,7
376,Buggy_Hunk,7
377,Fixed_Hunk,7
378,Buggy_Hunk,7
379,Fixed_Hunk,7
380,Buggy_Hunk,7
381,Fixed_Hunk,7
382,Buggy_Hunk,7
383,Fixed_Hunk,7
384,Buggy_Hunk,7
385,Fixed_Hunk,7
386,Buggy_Hunk,7
387,Fixed_Hunk,7
388,Buggy_Hunk,7
389,Fixed_Hunk,7
390,Buggy_Hunk,7
391,Fixed_Hunk,7
392,Buggy_Hunk,7
393,Fixed_Hunk,7
394,Buggy_Hunk,7
395,Fixed_Hunk,7
396,Buggy_Hunk,7
397,Fixed_Hunk,7
