,Hunk_Type,Size
0,Buggy_Hunk,7
1,Fixed_Hunk,7
2,Buggy_Hunk,7
3,Fixed_Hunk,7
4,Buggy_Hunk,6
5,Fixed_Hunk,7
6,Buggy_Hunk,12
7,Fixed_Hunk,12
8,Buggy_Hunk,6
9,Fixed_Hunk,7
10,Buggy_Hunk,11
11,Fixed_Hunk,12
12,Buggy_Hunk,6
13,Fixed_Hunk,7
14,Buggy_Hunk,6
15,Fixed_Hunk,7
16,Buggy_Hunk,7
17,Fixed_Hunk,6
18,Buggy_Hunk,7
19,Fixed_Hunk,7
20,Buggy_Hunk,8
21,Fixed_Hunk,8
22,Buggy_Hunk,10
23,Fixed_Hunk,14
24,Buggy_Hunk,7
25,Fixed_Hunk,7
26,Buggy_Hunk,6
27,Fixed_Hunk,7
28,Buggy_Hunk,6
29,Fixed_Hunk,7
30,Buggy_Hunk,7
31,Fixed_Hunk,7
32,Buggy_Hunk,4
33,Fixed_Hunk,10
34,Buggy_Hunk,6
35,Fixed_Hunk,12
36,Buggy_Hunk,7
37,Fixed_Hunk,7
38,Buggy_Hunk,7
39,Fixed_Hunk,6
40,Buggy_Hunk,7
41,Fixed_Hunk,9
42,Buggy_Hunk,14
43,Fixed_Hunk,14
44,Buggy_Hunk,7
45,Fixed_Hunk,9
46,Buggy_Hunk,12
47,Fixed_Hunk,12
48,Buggy_Hunk,6
49,Fixed_Hunk,7
50,Buggy_Hunk,6
51,Fixed_Hunk,7
52,Buggy_Hunk,10
53,Fixed_Hunk,11
54,Buggy_Hunk,9
55,Fixed_Hunk,8
56,Buggy_Hunk,17
57,Fixed_Hunk,17
58,Buggy_Hunk,6
59,Fixed_Hunk,7
60,Buggy_Hunk,7
61,Fixed_Hunk,8
62,Buggy_Hunk,7
63,Fixed_Hunk,7
64,Buggy_Hunk,7
65,Fixed_Hunk,7
66,Buggy_Hunk,7
67,Fixed_Hunk,8
68,Buggy_Hunk,7
69,Fixed_Hunk,7
70,Buggy_Hunk,7
71,Fixed_Hunk,8
72,Buggy_Hunk,7
73,Fixed_Hunk,7
74,Buggy_Hunk,20
75,Fixed_Hunk,12
76,Buggy_Hunk,14
77,Fixed_Hunk,17
78,Buggy_Hunk,6
79,Fixed_Hunk,7
80,Buggy_Hunk,7
81,Fixed_Hunk,7
82,Buggy_Hunk,9
83,Fixed_Hunk,12
84,Buggy_Hunk,7
85,Fixed_Hunk,7
86,Buggy_Hunk,6
87,Fixed_Hunk,7
88,Buggy_Hunk,6
89,Fixed_Hunk,7
90,Buggy_Hunk,12
91,Fixed_Hunk,14
92,Buggy_Hunk,16
93,Fixed_Hunk,20
94,Buggy_Hunk,12
95,Fixed_Hunk,13
96,Buggy_Hunk,6
97,Fixed_Hunk,9
98,Buggy_Hunk,6
99,Fixed_Hunk,10
100,Buggy_Hunk,6
101,Fixed_Hunk,25
102,Buggy_Hunk,7
103,Fixed_Hunk,7
104,Buggy_Hunk,12
105,Fixed_Hunk,18
106,Buggy_Hunk,10
107,Fixed_Hunk,12
108,Buggy_Hunk,6
109,Fixed_Hunk,7
